#search term: ((gender[Title/Abstract]) OR sex[Title/Abstract]) AND (fMRI[Title/Abstract] OR EEG[Title/Abstract]) 
pubmed_ID	DOI
28866338	10.1016/j.yebeh.2017.08.002 
28865883	10.1016/j.yebeh.2017.08.016 
28861032	10.3389/fneur.2017.00395 
28851279	10.1186/s12871-017-0412-5 
28850382	10.1016/j.sjpain.2017.01.008 
28847339	10.1017/S2040174417000642 
28844008	10.1016/j.neuroscience.2017.08.028 
28841884	10.1186/s13049-017-0382-0 
28830770	10.1016/j.brainres.2017.08.021 
28828757	10.1007/s12264-017-0171-9 
28826089	10.1016/j.jad.2017.08.027 
28824485	10.3389/fpsyg.2017.01292 
28824350	10.1080/15598608.2017.1307792 
28821687	10.1212/WNL.0000000000004388 
28819323	10.1038/ijo.2017.207 
28809667	10.1109/TNB.2017.2705689 
28806742	10.1371/journal.pone.0182476 
28806632	10.1016/j.yebeh.2017.07.003 
28803030	10.1016/S2215-0366(17)30291-2 
28798703	10.3389/fpsyg.2017.01234 
28795168	10.1016/j.heliyon.2017.e00373 
28794974	10.1016/j.nicl.2017.07.013 
28789983	10.1016/j.neulet.2017.08.002 
28779337	10.1007/s00234-017-1895-y 
28778745	10.1016/j.jfludis.2017.03.007 
28777996	10.1016/j.dcn.2017.07.006 
28776147	10.1007/s10802-017-0335-0 
28775954	10.14581/jer.17007 
28771044	10.1177/1550059417695896 
28761811	10.1016/j.nicl.2017.07.006 
28761555	10.1007/s11571-017-9439-z 
28759710	10.1002/hbm.23745 
28759619	10.1371/journal.pone.0181554 
28753112	10.3171/2017.2.JNS161295 
28747444	10.1212/WNL.0000000000004266 
28744969	10.1002/hbm.23718 
28744228	10.3389/fpsyt.2017.00119 
28743861	10.1038/s41598-017-05484-w 
28743459	10.1016/j.neuroimage.2017.07.043 
28733941	10.1186/s10194-017-0783-5 
28733679	10.1038/s41598-017-06280-2 
28731448	10.3233/JAD-170360 
28720550	10.1016/j.neuroimage.2017.07.031 
28712947	10.1016/j.neuropsychologia.2017.07.010 
28712486	10.1016/j.braindev.2017.06.007 
28711813	10.1016/j.drugalcdep.2017.05.044 
28709112	10.1016/j.bandl.2017.06.005 
28705608	10.1016/j.heares.2017.06.012 
28691593	10.1177/0883073817713918 
28688529	10.1016/j.jvs.2017.04.064 
28688343	10.1016/j.dcn.2017.06.004 
28688266	10.1016/j.jad.2017.06.050 
28680515	10.5847/wjem.j.1920-8642.2017.03.005 
28679330	10.1177/0300060517715340 
28675490	10.1002/cne.24274 
28667891	10.1016/j.jad.2017.05.051 
28666645	10.1016/j.neuroscience.2017.06.028 
28656145	10.1155/2017/6756927 
28654799	10.1016/j.yebeh.2017.01.018 
28652967	10.1016/j.nicl.2017.06.005 
28652414	10.1523/JNEUROSCI.3900-16.2017 
28649490	10.1016/j.nicl.2016.05.011 
28647831	10.1007/s00702-017-1748-1 
28642688	10.3389/fnana.2017.00047 
28641131	10.1016/j.drugalcdep.2017.02.028 
28638719	10.1002/brb3.714 
28627421	10.1016/j.neuroscience.2017.06.012 
28621693	10.3233/JAD-160883 
28619530	10.1016/j.neuropsychologia.2017.06.008 
28617520	10.3928/01913913-20170320-05 
28615426	10.1212/WNL.0000000000004089 
28611616	10.3389/fnhum.2017.00288 
28610744	10.1016/j.neuro.2017.06.006 
28606112	10.1186/s13052-017-0370-z 
28605632	10.1016/j.yebeh.2017.05.017 
28600740	10.1007/s11682-017-9738-3 
28596820	10.1186/s13229-017-0140-1 
28596539	10.1038/s41598-017-03482-6 
28594850	10.1371/journal.pone.0178017 
28591477	10.1111/epi.13757 
28588479	10.3389/fnagi.2017.00160 
28588478	10.3389/fnagi.2017.00156 
28580708	10.1002/hbm.23679 
28580693	10.1002/hbm.23669 
28580687	10.1111/psyp.12906 
28579971	10.3389/fneur.2017.00209 
28579788	10.2147/NDT.S134258 
28575766	10.1016/j.yebeh.2017.04.023 
28575506	10.1093/schbul/sbx059 
28570500	10.1097/YCT.0000000000000423 
28566954	10.5152/npa.2016.12455 
28553199	10.3389/fnins.2017.00259 
28547854	10.1111/add.13882 
28545486	10.1186/s13023-017-0658-5 
28539875	10.3389/fnbeh.2017.00085 
28523232	10.1002/brb3.691 
28522971	10.3389/fnagi.2017.00127 
28521049	10.1093/schbul/sbx058 
28506872	10.1016/j.neuroimage.2017.05.024 
28505526	10.1016/j.heares.2017.05.005 
28504840	10.1111/acps.12752 
28500965	10.1016/j.pscychresns.2017.05.003 
28499888	10.1016/j.neulet.2017.05.011 
28497994	10.1080/87565641.2017.1315806 
28497111	10.1523/ENEURO.0104-17.2017 
28491028	10.3389/fnhum.2017.00189 
28483974	10.1523/JNEUROSCI.3334-16.2017 
28483337	10.1016/S1474-4422(17)30114-X 
28483096	10.1016/j.ajp.2017.01.013 
28476183	10.1016/j.fertnstert.2017.03.021 
28466438	10.1007/s11682-017-9728-5 
28453543	10.1371/journal.pone.0176494 
28449561	10.9758/cpn.2017.15.2.138 
28446254	10.1017/S003329171700112X 
28444539	10.1007/s00705-017-3381-6 
28442224	10.1016/j.dcn.2017.03.005 
28440813	10.1038/tp.2017.40 
28439672	10.1007/s10072-017-2953-2 
28436831	10.1016/j.dcn.2017.03.007 
28435658	10.1186/s13293-017-0135-9 
28434159	10.1007/s11682-017-9718-7 
28433446	10.1016/j.ophtha.2017.03.033 
28422373	10.1002/hbm.23611 
28420470	10.3760/cma.j.issn.2095-4352.2017.04.012 
28416813	10.1038/mp.2017.72 
28412582	10.1016/j.psyneuen.2017.04.003 
28404798	10.1212/WNL.0000000000003913 
28402867	10.1016/j.clinph.2017.02.022 
28397623	10.1017/S0033291717000861 
28388867	10.1080/17470919.2017.1317662 
28383534	10.1038/jp.2017.42 
28379542	10.1093/scan/nsx047 
28367402	10.1016/j.nicl.2017.02.021 
28358852	10.1371/journal.pone.0174906 
28355957	10.1080/1028415X.2017.1306009 
28353559	10.1097/MD.0000000000006223 
28350376	10.1038/sdata.2016.121 
28348521	10.3389/fnbeh.2017.00043 
28340429	10.1016/j.clinph.2017.02.010 
28338724	10.1093/scan/nsx021 
28327918	10.1093/gigascience/gix002 
28326118	10.4306/pi.2017.14.2.193 
28321594	10.1186/s10194-017-0747-9 
28320473	10.1186/s40359-017-0177-0 
28318282	10.1037/neu0000363 
28315366	10.1016/j.neuropsychologia.2017.03.016 
28314822	10.1523/JNEUROSCI.1961-16.2017 
28293803	10.1007/s11682-017-9704-0 
28280514	10.1155/2017/2850124 
28279916	10.1016/j.dcn.2017.02.008 
28279670	10.1016/j.neuropsychologia.2017.03.008 
28269516	10.1109/EMBC.2016.7591987 
28263679	10.1089/cyber.2016.0171 
28262138	10.1016/j.ajp.2016.11.001 
28258836	10.1016/j.dcn.2017.02.001 
28258436	10.1007/s00221-017-4911-x 
28257930	10.1016/j.neuroimage.2017.02.079 
28256710	10.1002/cne.24197 
28249785	10.1016/j.neulet.2017.02.056 
28248867	10.1097/MD.0000000000006139 
28243502	10.1212/CPJ.0000000000000312 
28243104	10.2147/NDT.S117510 
28237506	10.1016/j.euroneuro.2017.02.002 
28223812	10.2147/NDT.S123598 
28215469	10.1016/j.neucli.2017.01.009 
28205364	10.1002/hbm.23542 
28202706	10.1212/WNL.0000000000003716 
