#infile: ../data/2017-09-04-18-44-03-pubmed-crawl.csv 
doi	is_oa	journal_is_oa	host_type
10.1016/j.yebeh.2017.08.002	False	None	NA
10.1016/j.yebeh.2017.08.016	False	None	NA
10.3389/fneur.2017.00395	True	True	publisher
10.1186/s12871-017-0412-5	True	True	publisher
10.1016/j.sjpain.2017.01.008	False	None	NA
10.1017/s2040174417000642	False	None	NA
10.1016/j.neuroscience.2017.08.028	False	None	NA
10.1186/s13049-017-0382-0	True	True	publisher
10.1016/j.brainres.2017.08.021	False	None	NA
10.1007/s12264-017-0171-9	False	None	NA
10.1016/j.jad.2017.08.027	False	None	NA
10.3389/fpsyg.2017.01292	True	True	publisher
10.1080/15598608.2017.1307792	False	None	NA
10.1212/wnl.0000000000004388	False	None	NA
10.1038/ijo.2017.207	False	None	NA
10.1109/tnb.2017.2705689	False	None	NA
10.1371/journal.pone.0182476	True	True	publisher
10.1016/j.yebeh.2017.07.003	False	None	NA
10.1016/s2215-0366(17)30291-2	False	None	NA
10.3389/fpsyg.2017.01234	True	True	publisher
10.1016/j.heliyon.2017.e00373	True	True	publisher
10.1016/j.nicl.2017.07.013	True	True	publisher
10.1016/j.neulet.2017.08.002	False	None	NA
10.1007/s00234-017-1895-y	False	None	NA
10.1016/j.jfludis.2017.03.007	True	False	publisher
10.1016/j.dcn.2017.07.006	True	True	publisher
10.1007/s10802-017-0335-0	False	None	NA
10.14581/jer.17007	False	None	NA
10.1177/1550059417695896	False	None	NA
10.1016/j.nicl.2017.07.006	True	True	publisher
10.1007/s11571-017-9439-z	False	None	NA
10.1002/hbm.23745	False	None	NA
10.1371/journal.pone.0181554	True	True	publisher
10.3171/2017.2.jns161295	False	None	NA
10.1212/wnl.0000000000004266	False	None	NA
10.1002/hbm.23718	False	None	NA
10.3389/fpsyt.2017.00119	True	True	publisher
10.1038/s41598-017-05484-w	True	True	publisher
10.1016/j.neuroimage.2017.07.043	False	None	NA
10.1186/s10194-017-0783-5	True	False	publisher
10.1038/s41598-017-06280-2	True	True	publisher
10.3233/jad-170360	False	None	NA
10.1016/j.neuroimage.2017.07.031	False	None	NA
10.1016/j.neuropsychologia.2017.07.010	False	None	NA
10.1016/j.braindev.2017.06.007	False	None	NA
10.1016/j.drugalcdep.2017.05.044	False	None	NA
10.1016/j.bandl.2017.06.005	True	False	publisher
10.1016/j.heares.2017.06.012	True	False	publisher
10.1177/0883073817713918	False	None	NA
10.1016/j.jvs.2017.04.064	False	None	NA
10.1016/j.dcn.2017.06.004	True	True	publisher
10.1016/j.jad.2017.06.050	False	None	NA
10.5847/wjem.j.1920-8642.2017.03.005	False	None	NA
10.1177/0300060517715340	True	True	publisher
10.1002/cne.24274	False	None	NA
10.1016/j.jad.2017.05.051	False	None	NA
10.1016/j.neuroscience.2017.06.028	False	None	NA
10.1155/2017/6756927	True	True	publisher
10.1016/j.yebeh.2017.01.018	False	None	NA
10.1016/j.nicl.2017.06.005	True	True	publisher
10.1523/jneurosci.3900-16.2017	False	None	NA
10.1016/j.nicl.2016.05.011	True	True	publisher
10.1007/s00702-017-1748-1	False	None	NA
10.3389/fnana.2017.00047	True	True	publisher
10.1016/j.drugalcdep.2017.02.028	False	None	NA
10.1002/brb3.714	True	True	publisher
10.1016/j.neuroscience.2017.06.012	False	None	NA
10.3233/jad-160883	False	None	NA
10.1016/j.neuropsychologia.2017.06.008	False	None	NA
10.3928/01913913-20170320-05	False	None	NA
10.1212/wnl.0000000000004089	False	None	NA
10.3389/fnhum.2017.00288	True	True	publisher
10.1016/j.neuro.2017.06.006	False	None	NA
10.1186/s13052-017-0370-z	True	True	publisher
10.1016/j.yebeh.2017.05.017	False	None	NA
10.1007/s11682-017-9738-3	False	None	NA
10.1186/s13229-017-0140-1	True	True	publisher
10.1038/s41598-017-03482-6	True	True	publisher
10.1371/journal.pone.0178017	True	True	publisher
10.1111/epi.13757	False	None	NA
10.3389/fnagi.2017.00160	True	True	publisher
10.3389/fnagi.2017.00156	True	True	publisher
10.1002/hbm.23679	False	None	NA
10.1002/hbm.23669	False	None	NA
10.1111/psyp.12906	False	None	NA
10.3389/fneur.2017.00209	True	True	publisher
10.2147/ndt.s134258	True	False	publisher
10.1016/j.yebeh.2017.04.023	False	None	NA
10.1093/schbul/sbx059	False	None	NA
10.1097/yct.0000000000000423	False	None	NA
10.5152/npa.2016.12455	True	False	publisher
10.3389/fnins.2017.00259	True	True	publisher
10.1111/add.13882	False	None	NA
10.1186/s13023-017-0658-5	True	True	publisher
10.3389/fnbeh.2017.00085	True	True	publisher
10.1002/brb3.691	True	True	publisher
10.3389/fnagi.2017.00127	True	True	publisher
10.1093/schbul/sbx058	False	None	NA
10.1016/j.neuroimage.2017.05.024	False	None	NA
10.1016/j.heares.2017.05.005	False	None	NA
10.1111/acps.12752	False	None	NA
10.1016/j.pscychresns.2017.05.003	False	None	NA
10.1016/j.neulet.2017.05.011	False	None	NA
10.1080/87565641.2017.1315806	False	None	NA
10.1523/eneuro.0104-17.2017	False	None	NA
10.3389/fnhum.2017.00189	True	True	publisher
10.1523/jneurosci.3334-16.2017	False	None	NA
10.1016/s1474-4422(17)30114-x	False	None	NA
10.1016/j.ajp.2017.01.013	False	None	NA
10.1016/j.fertnstert.2017.03.021	False	None	NA
10.1007/s11682-017-9728-5	False	None	NA
10.1371/journal.pone.0176494	False	None	NA
10.9758/cpn.2017.15.2.138	False	None	NA
10.1017/s003329171700112x	False	None	NA
10.1007/s00705-017-3381-6	False	None	NA
10.1016/j.dcn.2017.03.005	True	True	publisher
10.1038/tp.2017.40	True	True	publisher
10.1007/s10072-017-2953-2	False	None	NA
10.1016/j.dcn.2017.03.007	True	True	publisher
10.1186/s13293-017-0135-9	True	True	publisher
10.1007/s11682-017-9718-7	False	None	NA
10.1016/j.ophtha.2017.03.033	True	True	publisher
10.1002/hbm.23611	False	None	NA
10.3760/cma.j.issn.2095-4352.2017.04.012	False	None	NA
10.1038/mp.2017.72	False	None	NA
10.1016/j.psyneuen.2017.04.003	False	None	NA
10.1212/WNL.0000000000003913	False	None	NA
10.1016/j.clinph.2017.02.022	False	None	NA
10.1017/s0033291717000861	False	None	NA
10.1080/17470919.2017.1317662	False	None	NA
10.1038/jp.2017.42	False	None	NA
10.1093/scan/nsx047	False	None	NA
10.1016/j.nicl.2017.02.021	True	True	publisher
10.1371/journal.pone.0174906	True	True	publisher
10.1080/1028415x.2017.1306009	False	None	NA
10.1097/md.0000000000006223	True	False	publisher
10.1038/sdata.2016.121	True	True	publisher
10.3389/fnbeh.2017.00043	True	True	publisher
10.1016/j.clinph.2017.02.010	False	None	NA
10.1093/scan/nsx021	False	None	NA
10.1093/gigascience/gix002	True	True	publisher
10.4306/pi.2017.14.2.193	True	False	publisher
10.1186/s10194-017-0747-9	True	False	publisher
10.1186/s40359-017-0177-0	True	True	publisher
10.1037/neu0000363	False	None	NA
10.1016/j.neuropsychologia.2017.03.016	False	None	NA
10.1523/jneurosci.1961-16.2017	False	None	NA
10.1007/s11682-017-9704-0	True	False	publisher
10.1155/2017/2850124	True	True	publisher
10.1016/j.dcn.2017.02.008	True	True	publisher
10.1016/j.neuropsychologia.2017.03.008	False	None	NA
10.1109/embc.2016.7591987	False	None	NA
10.1089/cyber.2016.0171	False	None	NA
10.1016/j.ajp.2016.11.001	False	None	NA
10.1016/j.dcn.2017.02.001	True	True	publisher
10.1007/s00221-017-4911-x	False	None	NA
10.1016/j.neuroimage.2017.02.079	False	None	NA
10.1002/cne.24197	True	False	publisher
10.1016/j.neulet.2017.02.056	False	None	NA
10.1097/md.0000000000006139	True	False	repository
10.1212/cpj.0000000000000312	False	None	NA
10.2147/ndt.s117510	True	False	publisher
10.1016/j.euroneuro.2017.02.002	False	None	NA
10.2147/ndt.s123598	True	False	publisher
10.1016/j.neucli.2017.01.009	False	None	NA
10.1002/hbm.23542	False	None	NA
10.1212/wnl.0000000000003716	False	None	NA
10.1016/j.jad.2017.02.003	True	False	publisher
10.3389/fnhum.2017.00029	True	True	publisher
10.1016/j.jad.2017.01.025	False	None	NA
10.1371/journal.pone.0171647	True	True	publisher
10.1016/j.wneu.2017.01.093	False	None	NA
10.1007/s00787-017-0953-7	False	None	NA
10.1212/wnl.0000000000003689	False	None	NA
10.1093/cercor/bhx014	False	None	NA
10.1371/journal.pone.0171723	True	True	publisher
10.1038/srep41314	True	True	publisher
10.1007/s11682-016-9669-4	False	None	NA
10.1016/j.bbi.2017.01.013	False	None	NA
10.1177/1550059416688108	False	None	NA
10.1016/j.nicl.2016.12.026	True	True	publisher
10.1186/s11689-017-9183-z	True	True	publisher
10.1002/hbm.23525	False	None	NA
10.1016/j.neulet.2017.01.024	False	None	NA
10.3389/fpsyt.2016.00205	True	True	publisher
10.3389/fnagi.2016.00318	True	True	publisher
10.1002/hbm.23480	False	None	NA
10.1002/hbm.23483	False	None	NA
10.1007/s00234-016-1771-1	False	None	NA
10.1007/s10072-016-2798-0	False	None	NA
10.1016/j.clinph.2016.11.019	False	None	NA
10.1016/j.bbr.2016.12.035	False	None	NA
10.1016/j.ijpsycho.2016.12.008	False	None	NA
10.3758/s13415-016-0489-1	False	None	NA
10.1002/brb3.511	True	True	publisher
10.3389/fnana.2016.00120	True	True	publisher
10.1038/ijo.2016.231	False	None	NA
10.1016/j.neuroimage.2016.12.062	False	None	NA
10.1016/j.arcped.2016.11.005	False	None	NA
10.1016/j.cortex.2016.11.017	False	None	NA
10.1111/adb.12486	False	None	NA
10.1159/000453212	True	True	publisher
10.1016/j.nicl.2016.10.016	True	True	publisher
10.3389/fnmol.2016.00141	True	True	publisher
10.1016/j.nicl.2016.04.010	True	True	publisher
10.1016/j.neuroimage.2016.12.046	False	None	NA
10.1111/epi.13644	False	None	NA
10.1016/j.neuroimage.2016.12.016	False	None	NA
10.2174/0929867323666161213102528	False	None	NA
10.3390/bs6040028	True	True	publisher
10.3758/s13415-016-0488-2	False	None	NA
10.3389/fphys.2016.00576	True	True	publisher
10.1523/eneuro.0275-16.2016	True	False	publisher
10.2147/ndt.s120909	True	False	publisher
10.1016/j.jad.2016.11.044	False	None	NA
10.1080/87565641.2016.1243115	False	None	NA
10.1016/j.schres.2016.11.043	False	None	NA
10.3389/fpsyg.2016.01817	True	True	publisher
10.3389/fpsyt.2016.00187	True	True	publisher
10.1371/journal.pone.0165646	True	True	publisher
10.1097/md.0000000000005191	True	False	repository
10.3389/fpsyg.2016.01776	True	True	publisher
10.1016/j.neulet.2016.11.052	False	None	NA
10.1097/wnp.0000000000000365	False	None	NA
10.2147/ndt.s118326	True	False	publisher
10.1002/jmri.25571	False	None	NA
10.1002/jnr.23870	False	None	NA
10.1002/jnr.23820	False	None	NA
10.1111/adb.12467	False	None	NA
10.1111/adb.12481	False	None	NA
10.3389/fnhum.2016.00546	True	True	publisher
10.1016/j.yebeh.2016.10.016	False	None	NA
10.3389/fnhum.2016.00552	True	True	publisher
10.1016/j.jpain.2016.10.017	False	None	NA
10.1038/srep36653	True	True	publisher
10.1002/brb3.555	True	True	publisher
10.1155/2016/7167358	True	True	publisher
10.5009/gnl16150	True	False	repository
10.1007/s11682-016-9646-y	False	None	NA
10.1001/jamapsychiatry.2016.2783	False	None	NA
10.1186/s12883-016-0729-6	True	True	publisher
10.1016/j.jad.2016.10.022	False	None	NA
10.1093/scan/nsw149	False	None	NA
10.1016/j.neuropsychologia.2016.10.013	False	None	NA
10.1016/j.jad.2016.10.015	False	None	NA
10.1016/j.eplepsyres.2016.10.011	False	None	NA
10.1016/j.eplepsyres.2016.08.008	False	None	NA
10.1016/j.bbr.2016.10.002	False	None	NA
10.1038/srep35905	True	True	publisher
10.1371/journal.pone.0164818	True	True	publisher
10.1016/j.neuropsychologia.2016.08.004	False	None	NA
